type,title,date,authors,doi,publisher,venue,location
article-journal,"Pick-and-Drop: A Direct Manipulation Technique for Multiple Computer Environments""",1997,['J. Rekimoto'],10.1145/263407.263505,,Proc,
paper-conference,"A Framework for Bimanual Inter-Device Interactions""",2014,"['A. Roudaki', 'J. Kong', 'G. Walia']",temp3905,,Proc. DMS,
article-journal,"A Framework for Bimanual Inter-Device Interactions""",2014,"['A. Roudaki', 'J. Kong', 'G. Walia', 'Z. Huang']",10.1016/j.jvlc.2014.10.002,,Journal of Visual Languages and Computing,
paper-conference,"A Cross-Device Interaction Style for Mobiles and Surfaces""",2012,"['D. Schmidt', 'J. Seifert', 'E. Rukzio', 'H. Gellersen']",10.1145/2317956.2318005,,Proc. DIS,
article-journal,"SkyHunter: A Multi-Surface Environment for Supporting Oil and Gas Exploration""",2013,"['T. Seyed', 'M.C. Sousa', 'F. Maurer', 'A. Tang']",10.1145/2512349.2512798,,Proc,
article-journal,"A comparison of usability factors of four mobile devices for accessing healthcare information by adolescents""",,"['B. Sheehan', 'Y. Lee', 'M. Rodriguez', 'V. Tiase', 'R. Schnall']",temp3909,,Appl Clin Inform,
article-journal,"ConnecTables: Dynamic Coupling of Displays for the Flexible Creation of Shared Workspaces""",2001,"['P. Tandler', 'T. Prante', 'C. Muller-Tomfelde', 'N. Streitz', 'R. Steinmetz']",10.1145/502348.502351,,Proc,
paper-conference,"BlueTable: Connecting Wireless Mobile Devices on Interactive Surfaces Using Vision-Based Handshaking""",2007,"['A. Wilson', 'R. Sarin']",10.1145/1268517.1268539,,Proc. Graphics Interface 2007,
paper-conference,"Toss-it: Intuitive Information Transfer Techniques for Mobile Devices""",2005,"['K. Yatani', 'K. Tamura', 'K. Hiroki', 'M. Sugimoto', 'H. Hashizume']",10.1145/1056808.1057046,,Proc. CHI'05,
research-article,What Makes You Think This Is a Map?: Suggestions for Creating Map-like Visualisations,2016,"['Patrick Cheong-Iao Pang', 'Robert P. Biuk-Aghai', 'Muye Yang']",10.1145/2968220.2968239,ACM,vinci,
article-journal,Gospermap: Using a gosper curve for laying out hierarchical data,2013,"['D. Auber', 'C. Huet', 'A. Lambert', 'B. Renoust', 'A. Sallaberry', 'A. Saulnier']",10.1109/TVCG.2013.91,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,A map-like visualisation method based on liquid modelling,"['2015', '2015-12']","['R.P. Biuk-Aghai', ' ']",10.1016/j.jvlc.2015.10.003,,Journal of Visual Languages & Computing,
article-journal,Visualizing large-scale human collaboration in Wikipedia,2014-02,"['R.P. Biuk-Aghai', 'C.-I. Pang', 'Y.-W. Si']",10.1016/j.future.2013.04.001,,Future Generation Computer Systems,
paper-conference,A novel map-based visualization method based on liquid modelling,2013,"['R.P. Biuk-Aghai', 'W.H. Ao']",10.1145/2493102.2493114,ACM,"Proceedings of the 6th International Symposium on Visual Information Communication and Interaction, VINCI '13","New York, NY, USA"
,A cross-cultural study of young children's mapping abilities,,"['M. Blades', 'J.M. Blaut', 'Z. Darvizeh', 'S. Elguea', 'S. Sowden', 'D. Soni', 'C. Spencer', 'D. Stea', 'R. Surajpaul', 'D. Uttal']",10.1111/j.0020-2754.1998.00269.x,,,
book,Atlas of Science,2010,['K. Börner'],temp3918,MIT Press,,
article-journal,Visualizing knowledge domains,"['2003', '2003-01']","['K. Börner', ' ']",temp3919,,Annual Review of Information Science and Technology,
book,The psychology of human-computer interaction,1986,"['S.K. Card', 'T.P. Moran']",10.5555/578027,CRC Press,,
article-journal,Worlds of Information: The Geographic Metaphor in the Visualization of Complex Information,"['1998', '1998-01']",['H. Couclelis'],abs/10.1559/152304098782383034,,Cartography and Geographic Information Systems,
book,"Educational Research: Planning, Conducting, and Evaluating Quantitative and Qualitative Research",2002,['J.W. Creswell'],temp3922,Merrill Prentice Hall,,
book,map,2015,['Encyclopædia Britannica'],temp3923,Encyclopædia Britannica,,
chapter,Drawing clustered graphs as topographic maps,2013,"['M. Gronemann', 'M. Jünger']",10.1007/978-3-642-36763-2_38,Springer,Graph Drawing,Berlin Heidelberg
book,"Assistive Technologies: Concepts, Methodologies, Tools, and Applications: Concepts, Methodologies, Tools, and Applications",2013,[],10.5555/2563431,Information Science Reference,,
article-journal,The Model Human Processor and the older adult: parameter estimation and validation within a mobile phone task,"['2007', '2007-12']","['T.S. Jastrzembski', 'N. Charness']",.apa.org/getdoi.cfm?doi=10.1037/1076-898X.13.4.224,,Journal of experimental psychology. Applied,
article-journal,Decision-making and action selection in Two Minds: An analysis based on Model Human Processor with Realtime Constraints (MHP/RT,"['2013', '2013-07']","['M. Kitajima', 'M. Toyota']",temp3927,,Biologically Inspired Cognitive Architectures,
book,Exploring Music Collections in Virtual Landscapes,2007,"['P. Knees', ' ']",10.1109/MMUL.2007.48,IEEE MultiMedia,,
book,How do People Make Sense of Unfamiliar Visualizations?: A Grounded Model of Novice's Information Visualization Sensemaking,2016,"['S. Lee', ' ']",temp3929,IEEE Transactions on Visualization and Computer Graphics,,
article-journal,Queueing Network-Model Human Processor (QN-MHP): A Computational Architecture for Multitask Performance in Human-machine Systems,"['2006', '2006-03']","['Y. Liu', ' ']",10.1145/1143518.1143520,,ACM Transactions Computer-Human Interaction,
,Visualizing dynamic data with maps,,"['Y. Hu', 'S. Kobourov', 'D. Mashima']",10.1109/TVCG.2011.288,,,
chapter,"map, n.1",2015,['Oxford English Dictionary'],temp3932,Oxford University Press,Oxford English Dictionary,
article-journal,A New Way to Use Wikipedia in Education: A Pilot Study of Map-like Wikipedia Visualization on iPad,"['2014', '2014']","['C.-I. Pang', ' ']",temp3933,,International Journal of Future Computer and Communication,
paper-conference,Wikipedia World Map: Method and Application of Map-like Wiki Visualization,"['2011', '2011']","['C.-I. Pang', 'R.P. Biuk-Aghai']",10.1145/2038558.2038579,,Proceedings of the 7th International Symposium on Wikis and Open Collaboration,"New York, NY, USA"
article-journal,Information foraging,"['1999', '1999']","['P. Pirolli', 'S. Card']",temp3935,,Psychological review,
book,Interaction Design: Beyond Human-Computer Interaction,2011,"['Y. Rogers', ' ']",10.5555/2031622,John Wiley & Sons Ltd,,
article-journal,External cognition: how do graphical representations work?,"['1996', '1996-08']","['M. Scaife', 'Y. Rogers']",10.1006/ijhc.1996.0048,,International Journal of Human-Computer Studies,
article-journal,A picture from a thousand words {information visualization},"['2004', '2004']",['A. Skupin'],10.1109/MCSE.2004.26,,Computing in Science & Engineering,
paper-conference,The world of geography: Visualizing a knowledge domain with cartographic means,"['2004', '2004-04']",['A. Skupin'],temp3939,,Proceedings of the National Academy of Sciences,
book,Information Visualization: Design for Interaction,2007,['R. Spence'],10.5555/1196684,Prentice Hall,,"Upper Saddle River, NJ"
,Tips for using color in maps,2015,[],temp3941,,,
paper-conference,Enhanced Hexagon-Tiling Algorithm for Map-Like Information Visualisation,"['2015', '2015']","['M. Yang', 'R.P. Biuk-Aghai']",10.1145/2801040.2801056,,Proceedings of the 8th International Symposium on Visual Information Communication and Interaction,"New York, NY, USA"
article-journal,Atlas of science: visualizing what we know,"['2013', '2013']",['F.B. Zhan'],full/10.1080/00221341.2013.775320,,Journal of Geography,
research-article,How People Deploy Dimensional Information to Estimate Relative Values,2016,"['Yina Li', 'Dongjin Li']",10.1145/2968220.2968240,ACM,vinci,
article-journal,Judgment of volume reduction in distorted metal containers,1964,"['R.T. Been', 'M.L. Braunstein', 'M.H. Piazza']",temp3944,,Journal of engineering psychology,
article-journal,Beyond graduated circles: varied point symbols for representing quantitative data on maps,1998,"['C. Brewer', 'A.J. Campbell']",temp3945,,Cartographic Perspectives,
article-journal,"Supersize in one dimension, downsize in three dimensions: Effects of spatial dimensionality on size perceptions and preferences",2009,"['P. Chandon', 'N. Ordabayeva']",temp3946,,Journal of Marketing Research,
article-journal,Graphical perception: The visual decoding of quantitative information on graphical displays of data,1987,"['W.S. Cleveland', 'R. McGill']",temp3947,,Journal of the Royal Statistical Society,
article-journal,Anchor effects and the estimation of graduated circles and squares,1976,['C.W. Cox'],abs/10.1559/152304076784080195,,The American Cartographer,
article-journal,Numerical comparison processes,1978,['P. Dixon'],temp3949,,Memory & Cognition,
article-journal,The effect of package shape on consumers' judgments of product volume: attention as a mental contaminant,2004,"['V. Folkes', 'S. Matta']",temp3950,,Journal of Consumer Research,
article-journal,The relative effectiveness of some common graduated point symbols in the presentation of quantitative data,1971,['J.J. Flannery'],10.3138/J647-1776-745H-3667,,Tire Canadian Cartographer,
article-journal,The role of visual information in numerosity estimation,2012,"['T. Gebuis', 'B. Reynvoet']",temp3952,,PloS one,
book,The influence of elongation on the perception of volume of geometrically simple objects,1975,['L. Holmberg'],temp3953,University Press,,
article-journal,"An international comparison of household expenditure patterns, commemorating the centenary of Engel's law",1957,['H.S. Houthakker'],temp3954,,"Econometrica, Journal of the Econometric Society",
article-journal,"Magnitude, time, and risk differ similarly between joint and single evaluations",2013,"['C.K. Hsee', 'J. Zhang', 'L. Wang', 'S. Zhang']",temp3955,,Journal of Consumer Research,
,The evaluability hypothesis: An explanation for preference reversals between joint and separate evaluations of alternatives.Organizational behavior and human decision processes,1996,['C.K. Hsee'],temp3956,,,
article-journal,Distinction bias: misprediction and mischoice due to joint evaluation,2004,"['C.K. Hsee', 'J. Zhang']",.apa.org/getdoi.cfm?doi=10.1037/0022-3514.86.5.680,,Journal of personality and social psychology,
,,2016,[],temp3958,,,
book,How to lie with statistics,1954,['D. Huff'],temp3959,WW Norton & Company,,N.Y
book,"Introduction to mediation, moderation, and conditional process analysis: A regression-based approach",2013,['A.F. Hayes'],temp3960,The Guilford Press,,N.Y
article-journal,Computational procedures for probing interactions in OLS and logistic regression: SPSS and SAS implementations,2009,"['A.F. Hayes', 'J. Matthes']",temp3961,,Behavior research methods,
article-journal,"The Johnson-Neyman technique, its theory and application",1950,"['P.O. Johnson', 'L.C. Fay']",temp3962,,Psychometrika,
article-journal,Pizzas: &pi;&pi; or square? Psychophysical biases in area comparisons,2001,"['R.E. Krider', 'P. Raghubir', 'A. Krishna']",10.1287/mksc.20.4.405.9756,,Marketing Science,
article-journal,The effect of line configuration on perceived numerosity of dotted lines,1997,"['A. Krishna', 'P. Raghubir']",temp3964,,Memory & cognition,
paper-conference,Metaphoric Transfer Effect in Information Visualization Using Glyphs,2015-08,"['Y.N. Li', 'D.J. Li', 'K. Zhang']",10.1145/2801040.2801062,ACM,Proceedings of the 8th International Symposium on Visual Information Communication and Interaction,
book,Visual persuasion: The role of images in advertising,1996,['P. Messaris'],temp3966,Sage Publications,,
article-journal,Geographical information systems-based marketing decisions: Effects of alternative visualizations on decision quality,2010,"['A.M. Ozimec', 'M. Natter', 'T. Reutterer']",10.1509/jmkg.74.6.94,,Journal of Marketing,
paper-conference,How deceptive are deceptive visualization? An empirical analysis of common distortion technique,2015,[' '],10.1145/2702123.2702608,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,
article-journal,The persuasive power of data visualization,2014,"['A.V. Pandey', 'A. Manivannan', 'O. Nov', 'M. Satterthwaite', 'E. Bertini']",temp3969,,"Visualization and Computer Graphics, IEEE Transactions on",
article-journal,Judgment of volume from photographs of complex shapes,1964,['R.G. Pearson'],temp3970,,Perceptual and motor skills,
article-journal,Vital dimensions in volume perception: can the eye fool the stomach?,1999,"['P. Raghubir', 'A. Krishna']",10.1177/002224379903600302,,Journal of Marketing research,
article-journal,The Judgment of Size,1965,['M. Teghtsoonian'],temp3972,,American Journal of Psychology,
article-journal,Human Factors In Visualization Research,"['2004', 'Jan./Feb. 2004']","['M. Tory', 'T. Mller']",10.1109/TVCG.2004.1260759,,IEEE Transactions on Visualization and Computer Graphics,
short-paper,Do Defaults Matter?: Evaluating the Effect of Defaults on User Preference for Multi-Class Scatterplots,2016,"['Casey Haber', 'Lyndonong Yiu', 'Alark Joshi', 'Sophie Engle']",10.1145/2968220.2968241,ACM,vinci,
paper-conference,Useful junk?,2010,"['S. Bateman', 'R.L. Mandryk', 'C. Gutwin', 'A. Genest', 'D. McDine', 'C. Brooks']",10.1145/1753326.1753716,ACM Press,Proceedings of the 28th international conference on Human factors in computing systems - CHI '10,"New York, New York, USA"
article-journal,Beyond memorability: Visualization recognition and recall,2016,"['M. Borkin', 'Z. Bylinskii', 'N.W. Kim', 'C.M. Bainbridge', 'C. Yeh', 'D. Borkin', 'H. Pfister', 'A. Oliva']",10.1109/TVCG.2015.2467732,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,What makes a visualization memorable?,2013-12,"['M. Borkin', 'A. Vo', 'Z. Bylinskii', 'P. Isola', 'S. Sunkavalli', 'A. Oliva', 'H. Pfister']",10.1109/TVCG.2013.234,,IEEE transactions on visualization and computer graphics,
article-journal,Rainbow color map (still) considered harmful,2007,"['D. Borland', 'R.M. Taylor']",10.1109/MCG.2007.323435,,IEEE Computer Graphics and Applications,
article-journal,Evaluating sketchiness as a visual variable for the depiction of qualitative uncertainty,2012,"['N. Boukhelifa', 'A. Bezerianos', 'T. Isenberg', 'J.-D. Fekete']",10.1109/TVCG.2012.220,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,Stacked graphs--geometry & aesthetics,2008,"['L. Byron', 'M. Wattenberg']",10.1109/TVCG.2008.166,,IEEE Transactions on Visualization and Computer Graphics,
paper-conference,The effect of aesthetic on the usability of data visualization,2007,"['N. Cawthon', 'A.V. Moere']",10.1109/IV.2007.147,,Proceedings of the 11th International Conference on Information Visualization,
article-journal,Design principles for data visualization in evaluation,2013,"['S. Evergreen', 'C. Metzner']",10.1002/ev.20071,,New Directions for Evaluation,
,Why did Microsoft change the default font to Calibri?,,['J. Friend'],temp3982,,,
article-journal,The early origins and development of the scatterplot,2005,"['M. Friendly', 'D. Denis']",10.1002/jhbs.20078,,Journal of the History of the Behavioral Sciences,
article-journal,When is information visualization art? determining the critical criteria,2008,['A.R. Gaviria'],temp3984,,Leonardo,
paper-conference,Infographic aesthetics: Designing for the first impression,2015,"['L. Harrison', 'K. Reinecke', 'R. Chang']",10.1145/2702123.2702545,,Proceedings of the 33rd Annual ACM Conference on Human Factors in Computing Systems,
article-journal,Matplotlib: A 2D graphics environment,2007,"['J.D. Hunter', ' ']",10.1109/MCSE.2007.55,,Computing in Science and Engineering,
article-journal,Evaluating the effect of style in information visualization,2012,"['A.V. Moere', 'M. Tomitsch', 'C. Wimmer', 'B. Christoph', 'T. Grechenig']",10.1109/TVCG.2012.221,,IEEE Transactions on Visualization and Computer Graphics,
article-journal,Scikit-learn: Machine learning in Python,2011,"['F. Pedregosa', 'G. Varoquaux', 'A. Gramfort', 'V. Michel', 'B. Thirion', 'O. Grisel', 'M. Blondel', 'P. Prettenhofer', 'R. Weiss', 'V. Dubourg', ' ']",10.5555/1953048.2078195,,The Journal of Machine Learning Research,
article-journal,Data visualization: The end of the rainbow,1998,"['B.E. Rogowitz', 'L.A. Treinish']",10.1109/6.736450,,IEEE Spectrum,
